S.D.,Counts,seed,tournament_type
0.7,270,4,norm_m_sd_max
0.8,240,4,norm_m_sd_max
0.9,229,4,norm_m_sd_max
1,210,4,norm_m_sd_max
1.1,181,4,norm_m_sd_max
1.2,153,4,norm_m_sd_max
1.3,135,4,norm_m_sd_max
1.4,122,4,norm_m_sd_max
1.5,96,4,norm_m_sd_max
1.6,82,4,norm_m_sd_max
1.7,58,4,norm_m_sd_max
1.8,49,4,norm_m_sd_max
1.9,36,4,norm_m_sd_max
2,24,4,norm_m_sd_max
2.1,28,4,norm_m_sd_max
2.2,21,4,norm_m_sd_max
2.3,16,4,norm_m_sd_max
2.4,17,4,norm_m_sd_max
2.5,12,4,norm_m_sd_max
2.6,6,4,norm_m_sd_max
2.7,10,4,norm_m_sd_max
2.8,7,4,norm_m_sd_max
2.9,4,4,norm_m_sd_max
3,4,4,norm_m_sd_max
0.5,270,512,norm_m_sd_max
0.6,262,512,norm_m_sd_max
0.7,250,512,norm_m_sd_max
0.8,230,512,norm_m_sd_max
0.9,218,512,norm_m_sd_max
1,202,512,norm_m_sd_max
1.1,172,512,norm_m_sd_max
1.2,142,512,norm_m_sd_max
1.3,136,512,norm_m_sd_max
1.4,122,512,norm_m_sd_max
1.5,121,512,norm_m_sd_max
1.6,93,512,norm_m_sd_max
1.7,78,512,norm_m_sd_max
1.8,57,512,norm_m_sd_max
1.9,62,512,norm_m_sd_max
2,49,512,norm_m_sd_max
2.1,38,512,norm_m_sd_max
2.2,26,512,norm_m_sd_max
2.3,13,512,norm_m_sd_max
2.4,11,512,norm_m_sd_max
2.5,4,512,norm_m_sd_max
2.6,3,512,norm_m_sd_max
2.7,4,512,norm_m_sd_max
2.8,0,512,norm_m_sd_max
2.9,0,512,norm_m_sd_max
3,0,512,norm_m_sd_max
0.5,304,64,norm_m_sd_max
0.6,283,64,norm_m_sd_max
0.7,264,64,norm_m_sd_max
0.8,255,64,norm_m_sd_max
0.9,216,64,norm_m_sd_max
1,189,64,norm_m_sd_max
1.1,168,64,norm_m_sd_max
1.2,142,64,norm_m_sd_max
1.3,146,64,norm_m_sd_max
1.4,121,64,norm_m_sd_max
1.5,108,64,norm_m_sd_max
1.6,88,64,norm_m_sd_max
1.7,74,64,norm_m_sd_max
1.8,59,64,norm_m_sd_max
1.9,52,64,norm_m_sd_max
2,45,64,norm_m_sd_max
2.1,28,64,norm_m_sd_max
2.2,20,64,norm_m_sd_max
2.3,15,64,norm_m_sd_max
2.4,10,64,norm_m_sd_max
2.5,9,64,norm_m_sd_max
2.6,7,64,norm_m_sd_max
2.7,3,64,norm_m_sd_max
2.8,1,64,norm_m_sd_max
2.9,1,64,norm_m_sd_max
3,0,64,norm_m_sd_max
0.5,310,8,norm_m_sd_max
0.6,270,8,norm_m_sd_max
0.7,266,8,norm_m_sd_max
0.8,254,8,norm_m_sd_max
0.9,248,8,norm_m_sd_max
1,219,8,norm_m_sd_max
1.1,195,8,norm_m_sd_max
1.2,147,8,norm_m_sd_max
1.3,135,8,norm_m_sd_max
1.4,141,8,norm_m_sd_max
1.5,113,8,norm_m_sd_max
1.6,91,8,norm_m_sd_max
1.7,61,8,norm_m_sd_max
1.8,51,8,norm_m_sd_max
1.9,46,8,norm_m_sd_max
2,41,8,norm_m_sd_max
2.1,38,8,norm_m_sd_max
2.2,36,8,norm_m_sd_max
2.3,28,8,norm_m_sd_max
2.4,17,8,norm_m_sd_max
2.5,6,8,norm_m_sd_max
2.6,6,8,norm_m_sd_max
2.7,4,8,norm_m_sd_max
2.8,2,8,norm_m_sd_max
2.9,2,8,norm_m_sd_max
3,2,8,norm_m_sd_max
0.5,238,1024,norm_mdr_sd_max
0.6,232,1024,norm_mdr_sd_max
0.7,233,1024,norm_mdr_sd_max
0.8,210,1024,norm_mdr_sd_max
0.9,191,1024,norm_mdr_sd_max
1,158,1024,norm_mdr_sd_max
1.1,165,1024,norm_mdr_sd_max
1.2,158,1024,norm_mdr_sd_max
1.3,146,1024,norm_mdr_sd_max
1.4,116,1024,norm_mdr_sd_max
1.5,99,1024,norm_mdr_sd_max
1.6,85,1024,norm_mdr_sd_max
1.7,76,1024,norm_mdr_sd_max
1.8,57,1024,norm_mdr_sd_max
1.9,46,1024,norm_mdr_sd_max
2,34,1024,norm_mdr_sd_max
2.1,19,1024,norm_mdr_sd_max
2.2,13,1024,norm_mdr_sd_max
2.3,11,1024,norm_mdr_sd_max
2.4,8,1024,norm_mdr_sd_max
2.5,5,1024,norm_mdr_sd_max
2.6,2,1024,norm_mdr_sd_max
2.7,0,1024,norm_mdr_sd_max
2.8,0,1024,norm_mdr_sd_max
2.9,0,1024,norm_mdr_sd_max
3,0,1024,norm_mdr_sd_max
0.5,264,128,norm_mdr_sd_max
0.6,261,128,norm_mdr_sd_max
0.7,238,128,norm_mdr_sd_max
0.8,229,128,norm_mdr_sd_max
0.9,222,128,norm_mdr_sd_max
1,208,128,norm_mdr_sd_max
1.1,179,128,norm_mdr_sd_max
1.2,156,128,norm_mdr_sd_max
1.3,138,128,norm_mdr_sd_max
1.4,127,128,norm_mdr_sd_max
1.5,106,128,norm_mdr_sd_max
1.6,77,128,norm_mdr_sd_max
1.7,62,128,norm_mdr_sd_max
1.8,53,128,norm_mdr_sd_max
1.9,43,128,norm_mdr_sd_max
2,34,128,norm_mdr_sd_max
2.1,22,128,norm_mdr_sd_max
2.2,15,128,norm_mdr_sd_max
2.3,6,128,norm_mdr_sd_max
2.4,4,128,norm_mdr_sd_max
2.5,5,128,norm_mdr_sd_max
2.6,4,128,norm_mdr_sd_max
2.7,2,128,norm_mdr_sd_max
2.8,2,128,norm_mdr_sd_max
2.9,2,128,norm_mdr_sd_max
3,5,128,norm_mdr_sd_max
0.5,214,16,norm_mdr_sd_max
0.6,214,16,norm_mdr_sd_max
0.7,208,16,norm_mdr_sd_max
0.8,178,16,norm_mdr_sd_max
0.9,166,16,norm_mdr_sd_max
1,166,16,norm_mdr_sd_max
1.1,160,16,norm_mdr_sd_max
1.2,137,16,norm_mdr_sd_max
1.3,133,16,norm_mdr_sd_max
1.4,126,16,norm_mdr_sd_max
1.5,89,16,norm_mdr_sd_max
1.6,85,16,norm_mdr_sd_max
1.7,68,16,norm_mdr_sd_max
1.8,52,16,norm_mdr_sd_max
1.9,42,16,norm_mdr_sd_max
2,17,16,norm_mdr_sd_max
2.1,8,16,norm_mdr_sd_max
